,index,ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros,G,VORP,VORPrk,Value
351,228,*062cn*,Julian Alvarez,MCI,F,229,FA,@CHE Sun 11:30AM,109.5,15.64,84%,52.44,68%,7.001278772378517,-121.14285714285714,352,-299.56
352,213,*06f8y*,Alex Scott,BOU,M,214,FA,@NOT Sat 10:00AM,120.5,7.53,6%,354.77,7%,16.002656042496678,-121.42857142857142,353,1.7699999999999818
353,214,*06fxe*,Ryan Gravenberch,LIV,M,215,FA,@IPS Sat 7:30AM,119.5,9.19,2%,394.93,5%,13.003264417845484,-122.42857142857142,354,40.93000000000001
354,231,*05w9q*,Odsonne Edouard,CRY,F,232,FA,@BRF Sun 9:00AM,107.5,9.77,6%,351.55,5%,11.003070624360287,-123.14285714285714,355,-3.4499999999999886
355,418,*06mq2*,Caleb Okoli,LEI,D,419,FA,TOT Mon 3:00PM,2.5,0.36,0%,1250.0,0%,6.944444444444445,-123.64285714285714,356,894.0
356,419,*02ljr*,Conor Coady,LEI,D,420,FA,TOT Mon 3:00PM,1.5,0.38,0%,1171.4,0%,3.9473684210526314,-124.64285714285714,357,814.4000000000001
357,218,*05ue7*,Frank Onyeka,BRF,M,219,FA,CRY Sun 9:00AM,116.5,7.28,0%,1250.0,0%,16.002747252747252,-125.42857142857142,358,892.0
358,219,*04f67*,Philip Billing,BOU,M,220,FA,@NOT Sat 10:00AM,116.0,9.67,3%,377.81,3%,11.995863495346432,-125.92857142857142,359,18.810000000000002
359,421,*06442*,Zach Abbott,NOT,D,422,FA,BOU Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,360,890.0
360,692,*05wwd*,Joshua Wilson-Esbrand,MCI,D,687,FA,@CHE Sun 11:30AM,0.0,0.0,0%,1169.6,0%,,-126.14285714285714,361,808.5999999999999
361,608,*06ewy*,Alex Murphy,NEW,D,603,FA,SOU Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,362,888.0
