"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros"
"*067z4*","David Datro Fofana","CHE","F","505","FA","MCI Sun 11:30AM","0","0","1%","1140.7","1%"
"*02ltw*","Fraser Forster","TOT","G","506","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*066j7*","Nathan Fraser","WOL","F","507","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*03r8r*","Ryan Fraser","NEW","M","508","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*046c7*","Freddie Ladapo","IPS","F","572","FA","LIV Sat 7:30AM","0","0","0%","1111.8","0%"
"*06igq*","Benjamin Fredrick","BRF","D","509","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*063u9*","Remo Freuler","NOT","M","510","FA","BOU Sat 10:00AM","0","0","0%","-","0%"
"*051k8*","Conor Gallagher","CHE","M","511","FA","MCI Sun 11:30AM","0","0","68%","102.49","56%"
"*06igy*","Joe Gardner","NOT","F","513","FA","BOU Sat 10:00AM","0","0","0%","1153.8","0%"
"*06jgt*","Joe Gauci","AVL","G","514","FA","@WHU Sat 12:30PM","0","0","0%","-","0%"
"*06l4i*","Tyrique George","CHE","F","515","FA","MCI Sun 11:30AM","0","0","0%","-","0%"
"*05n09*","Mark Gillespie","NEW","G","516","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nbs*","Harvey Godsmark-Ford","LEI","M","517","FA","TOT Mon 3:00PM","0","0","0%","1173.8","0%"
"*06igr*","Michael Golding","LEI","M","518","FA","TOT Mon 3:00PM","0","0","0%","1116.8","0%"
"*063e8*","Goncalo Guedes","WOL","F","512","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06fwo*","Enso Gonzalez","WOL","F","519","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*05uhl*","Kaide Gordon","LIV","F","520","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*066rn*","Daniel Gore","MUN","M","521","W (Tue)","FUL Fri 3:00PM","0","0","0%","1121.8","0%"
"*066rj*","Sean Grehan","CRY","D","522","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*062z6*","Harvey Griffiths","WOL","M","523","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06exj*","Luca Gunter","TOT","G","524","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*06lvm*","Tyrese Hall","TOT","M","525","FA","@LEI Mon 3:00PM","0","0","0%","-","0%"
"*06h1g*","Aidan Harris","NEW","G","526","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06ids*","Adam Harrison","NEW","G","527","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nv5*","Alfie Harrison","NEW","M","528","FA","SOU Sat 10:00AM","0","0","0%","1154","0%"
"*04qr4*","Kortney Hause","AVL","D","529","FA","@WHU Sat 12:30PM","0","0","0%","-","0%"
"*035mq*","Isaac Hayden","NEW","M","530","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nyv*","Chanse Headman","BRF","D","531","FA","CRY Sun 9:00AM","0","0","0%","1050","0%"
"*03dwz*","Tom Heaton","MUN","G","532","FA","FUL Fri 3:00PM","0","0","1%","1084.9","1%"
"*06nv4*","Cathal Heffernan","NEW","D","533","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*05oz4*","Karl Hein","ARS","G","534","FA","WOL Sat 10:00AM","0","0","1%","1093.05","0%"
"*06jfq*","Travis Hernes","NEW","M","535","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06nyx*","Finlay Herrick","WHU","G","536","FA","AVL Sat 12:30PM","0","0","0%","1114","0%"
"*06nlc*","Reigan Heskey","MCI","F","537","FA","@CHE Sun 11:30AM","0","0","0%","1150.4","0%"
"*062z5*","Joseph Hodge","WOL","M","538","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*04yjx*","Ki-Jana Hoever","WOL","D","539","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*044nm*","Rob Holding","CRY","D","540","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*03v6s*","Mason Holgate","EVE","D","541","FA","BHA Sat 10:00AM","0","0","0%","-","0%"
"*06mww*","Isaac Holland","BRF","M","542","FA","CRY Sun 9:00AM","0","0","0%","-","0%"
"*06kx6*","Fletcher Holman","WOL","F","543","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*06ib4*","Justin Hubner","WOL","D","544","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*04f6o*","Will Hughes","CRY","M","545","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*066sh*","Bashir Humphreys","CHE","D","546","FA","MCI Sun 11:30AM","0","0","0%","1106.1","0%"
"*06mg4*","Cameron Humphreys","IPS","M","547","FA","LIV Sat 7:30AM","0","0","0%","1054.8","0%"
"*06exf*","James Huntley","NEW","M","548","FA","SOU Sat 10:00AM","0","0","0%","-","0%"
"*06cm9*","Hwang Ui-Jo","NOT","F","549","FA","BOU Sat 10:00AM","0","0","0%","1103.8","0%"
"*06mnb*","Samuel Iling-Junior","AVL","F","550","FA","@WHU Sat 12:30PM","0","0","1%","1093.4","1%"
"*06kyx*","Andy Irving","WHU","M","551","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
"*052i5*","Daniel Iversen","LEI","G","552","FA","TOT Mon 3:00PM","0","0","0%","-","0%"
"*052ce*","Vitezslav Jaros","LIV","G","553","FA","@IPS Sat 7:30AM","0","0","0%","-","0%"
"*06nva*","Mofe Jemide","CRY","D","554","FA","@BRF Sun 9:00AM","0","0","0%","-","0%"
"*0570n*","Joao Cancelo","MCI","D","467","FA","@CHE Sun 11:30AM","0","0","5%","366.84","4%"
"*04tsc*","Joao Virginia","EVE","G","609","FA","BHA Sat 10:00AM","0","0","0%","1074.6","1%"
"*064a2*","Juan Larios","SOU","D","574","FA","@NEW Sat 10:00AM","0","0","0%","-","0%"
"*062cl*","Issa Kabore","MCI","D","555","W (Tue)","@CHE Sun 11:30AM","0","0","1%","1117","1%"
"*06492*","Sasa Kalajdzic","WOL","F","556","FA","@ARS Sat 10:00AM","0","0","0%","-","0%"
"*0327r*","Michael Keane","EVE","D","557","FA","BHA Sat 10:00AM","0","0","0%","-","1%"
"*045ob*","Caoimhin Kelleher","LIV","G","558","FA","@IPS Sat 7:30AM","0","0","1%","1114.03","2%"
"*06nyz*","Patrick Kelly","WHU","M","559","FA","AVL Sat 12:30PM","0","0","0%","-","0%"
